SL.NO.,Heads of Crime,Major Head,Minor Head,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
532,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,123,89,118,123
533,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,25,24,24,25
534,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,45,40,39,45
535,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,13,6,15,13
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,13,1,11,13
537,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,8,12,11,8
538,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,9,1,8,9
539,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0,1,0,0
540,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
545,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
549,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,2,2,1,2
552,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,8,0,7,8
553,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
555,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Sub Total,0,0,0,0
558,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,FOREIGNER,,,,
559,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreigners Act 1946,0,2,3,0
560,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Registration of Foreigners Act 1939,0,0,0,0
561,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,0,0,1,0
562,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,0,0,0,0
563,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
564,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
565,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
566,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
567,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,23,10,21,23
568,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,10,8,12,10
569,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,0,26,1,0
570,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,3,0,2,3
571,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,86,208,211,86
572,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,195,155,301,195
573,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,0,0,0,0
574,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,0,1,0,0
575,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0,0,1,0
576,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0
577,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,0,0,0,0
578,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),465,421,538,465
579,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),481,307,426,481
580,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),13,11,34,13
581,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,12,32,7,12
582,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,55,38,66,55
583,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,11,10,11,11
584,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,0,0,0,0
585,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
586,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
587,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
588,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,0,1,0,0
589,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
590,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,0,0,0,0
591,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,210,174,216,210
592,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
593,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,0,0,0
594,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
595,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,0,5,3,0
596,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,43,40,125,43
597,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,16,18,13,16
598,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,0,0,0
599,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,9,0,5,9
600,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,1,0,0
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,16,36,12,16
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,401,399,455,401
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,12,6,5,12
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,2,1,0,2
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0,0,0,0
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,0,0,0,0
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,3,1,11,3
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,6,4,7,6
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,0,0,2,0
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,1,0,0
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,0,0,0,0
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,0,0,0,0
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,7,1,5,7
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,4,0,0
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,7,0,8,7
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,0,0,0,0
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,2,0,4,2
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,2,7,2,2
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,0,0,0,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,15,8,4,15
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,1,0,0
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,0,0,2,0
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,6,7,7,6
646,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",1903,1327,2034,1903
647,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
648,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0
649,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,1,1,0,1
650,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,0,0,0,0
651,B - SPECIAL & LOCAL LAWS,POCSO,Rape,224,182,307,224
652,B - SPECIAL & LOCAL LAWS,POCSO,Others ,70,75,93,70
653,C. CRIMES AGAINST WOMEN,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",1.1  Custodial Rape,1,0,0,1
654,C. CRIMES AGAINST WOMEN,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",1.2  Gang Rape,2,0,0,2
655,C. CRIMES AGAINST WOMEN,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",1.3  other Cases of Rape,47,29,57,47
656,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,523,465,552,523
657,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,10,7,7,10
658,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,6,7,12,6
659,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
660,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,1,0,3,1
661,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,30,26,31,30
662,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
663,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,7,2,2,7
664,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,56,56,69,56
665,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0
666,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,6,7,6,6
667,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,237,194,251,237
668,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,11,10,12,11
669,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,33,18,33,33
670,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0
671,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0
672,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,9,6,12,9
673,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,4,6,4,4
674,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,613,441,670,613
675,D. CRIMES AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,1,0
676,D. CRIMES AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
677,D. CRIMES AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,5,8,2,5
678,D. CRIMES AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,374,240,282,374
679,D. CRIMES AGAINST CHILDREN,For Ransom - of Children,NA,0,1,3,0
680,D. CRIMES AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
681,D. CRIMES AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
682,D. CRIMES AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
683,D. CRIMES AGAINST CHILDREN,Lawful Guardianship,NA,0,0,0,0
684,D. CRIMES AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
685,D. CRIMES AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0
686,D. CRIMES AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,1,1,0,1
687,D. CRIMES AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
688,D. CRIMES AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,8,12,11,8
689,D. CRIMES AGAINST CHILDREN,POCSO Act,NA,295,258,400,295
690,D. CRIMES AGAINST CHILDREN,Death of Children due to miscarriage,NA,3,0,1,3
691,D. CRIMES AGAINST CHILDREN,Juvenile Justice Act,NA,9,1,8,9
692,D. CRIMES AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,13,1,11,13
693,D. CRIMES AGAINST CHILDREN,Probation of Offenders Act,NA,0,1,0,0
694,E. CRIMES AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,Murder,NA,8,4,5,8
695,E. CRIMES AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,Rape,NA,19,17,23,19
696,E. CRIMES AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,Kidnapping,NA,7,8,1,7
697,E. CRIMES AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,Offences under the Protection of Civil Rights Act.,NA,0,0,0,0
698,E. CRIMES AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs,Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,172,130,167,172
